min_age,sex,maternity,Total Protein,Histidine,Isoleucine,Leucine,Lysine,Methionine + Cysteine,Phenylalanine + Tyrosine,Threonine,Tryptophan,Valine
0,none,none,1.52,0.036,0.088,0.156,0.107,0.059,0.135,0.073,0.028,0.087
0.5,none,none,1.2,0.032,0.043,0.093,0.089,0.043,0.084,0.049,0.013,0.058
1,none,none,1.05,0.021,0.028,0.063,0.058,0.028,0.054,0.032,0.008,0.037
4,none,none,0.95,0.016,0.022,0.049,0.046,0.022,0.041,0.024,0.006,0.028
9,male,none,0.95,0.017,0.022,0.049,0.046,0.022,0.041,0.024,0.006,0.028
14,male,none,0.85,0.015,0.021,0.047,0.043,0.021,0.038,0.022,0.005,0.027
19,male,none,0.8,0.011,0.015,0.034,0.031,0.015,0.027,0.016,0.004,0.019
31,male,none,0.8,0.011,0.015,0.034,0.031,0.015,0.027,0.016,0.004,0.019
51,male,none,0.8,0.011,0.015,0.034,0.031,0.015,0.027,0.016,0.004,0.019
70,male,none,0.8,0.011,0.015,0.034,0.031,0.015,0.027,0.016,0.004,0.019
9,female,none,0.95,0.015,0.021,0.047,0.043,0.021,0.038,0.022,0.005,0.027
14,female,none,0.85,0.014,0.019,0.044,0.04,0.019,0.035,0.021,0.005,0.024
19,female,none,0.8,0.011,0.015,0.034,0.031,0.015,0.027,0.016,0.004,0.019
31,female,none,0.8,0.011,0.015,0.034,0.031,0.015,0.027,0.016,0.004,0.019
51,female,none,0.8,0.011,0.015,0.034,0.031,0.015,0.027,0.016,0.004,0.019
70,female,none,0.8,0.011,0.015,0.034,0.031,0.015,0.027,0.016,0.004,0.019
14,female,pregnant,1.1,0.018,0.025,0.056,0.051,0.025,0.044,0.026,0.007,0.031
19,female,pregnant,1.1,0.018,0.025,0.056,0.051,0.025,0.044,0.026,0.007,0.031
31,female,pregnant,1.1,0.018,0.025,0.056,0.051,0.025,0.044,0.026,0.007,0.031
14,female,breastfeeding,1.3,0.015,0.024,0.05,0.042,0.021,0.041,0.024,0.007,0.028
19,female,breastfeeding,1.3,0.015,0.024,0.05,0.042,0.021,0.041,0.024,0.007,0.028
31,female,breastfeeding,1.3,0.015,0.024,0.05,0.042,0.021,0.041,0.024,0.007,0.028
