table	Source	Link
rda.csv	"Appendix J, Dietary Reference Intakes Summary Tables of Dietary Reference Intakes for Sodium and Potassium (2019), National Academies - Food Nutrition Board."	https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t2/?report=objectonly
rda.csv	"Appendix J, Dietary Reference Intakes Summary Tables of Dietary Reference Intakes for Sodium and Potassium (2019), National Academies - Food Nutrition Board."	https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab3/?report=objectonly
tul.csv	"Appendix J, Dietary Reference Intakes Summary Tables of Dietary Reference Intakes for Sodium and Potassium (2019), National Academies - Food Nutrition Board."	https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t7/?report=objectonly
tul.csv	"Appendix J, Dietary Reference Intakes Summary Tables of Dietary Reference Intakes for Sodium and Potassium (2019), National Academies - Food Nutrition Board."	https://www.ncbi.nlm.nih.gov/books/NBK545442/table/appJ_tab9/?report=objectonly
protein.csv	"Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids (2005), National Academies -  Food Nutrition Board."	https://nap.nationalacademies.org/cart/download.cgi?record_id=10490&file=589-768
energy.csv	"Summary of Dietary Reference Intakes for Energy (2023), National Academies - Food Nutrition Board."	https://www.ncbi.nlm.nih.gov/books/NBK591034/
energy_dist_lower.csv	"Appendix J, Dietary Reference Intakes Summary Tables of Dietary Reference Intakes for Sodium and Potassium (2019), National Academies - Food Nutrition Board."	https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t5/?report=objectonly
energy_dist_upper.csv	"Appendix J, Dietary Reference Intakes Summary Tables of Dietary Reference Intakes for Sodium and Potassium (2019), National Academies - Food Nutrition Board."	https://www.ncbi.nlm.nih.gov/books/NBK56068/table/summarytables.t5/?report=objectonly
original	"Appendix J, Dietary Reference Intakes Summary Tables of Dietary Reference Intakes for Sodium and Potassium (2019), National Academies - Food Nutrition Board."	https://www.ncbi.nlm.nih.gov/books/NBK538102/pdf/Bookshelf_NBK538102.pdf
fats_to_minimize.csv	"Appendix J, Dietary Reference Intakes Summary Tables of Dietary Reference Intakes for Sodium and Potassium (2019), National Academies - Food Nutrition Board."	https://www.ncbi.nlm.nih.gov/books/NBK538102/pdf/Bookshelf_NBK538102.pdf
long-chain fatty acids	"Long-chain polyunsaturated fatty acid sources and evaluation of their nutritional and functional properties (2014), Food Science & Nutrition Journal."	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4237475/
kcal_per_gram.csv	Food and Nutrition Information Center (FNIC)	https://www.nal.usda.gov/programs/fnic
